word,value
not,450.77868129914896
n't,243.68966357769523
horrible,164.70639861541292
worst,160.57843634298115
good,141.5956308433423
no,136.80916702133982
the,127.64280915165597
terrible,122.54285560416065
rude,120.84943032153387
bad,117.8778733472017
ok,102.31031999737024
disappointed,87.40178472814046
minutes,82.70499225682579
great,78.65178402150607
if,78.40301727367927
nothing,76.80932865764771
never,76.62359296635503
!,75.54721431221924
better,72.28120139784733
bland,70.86794441874372
mediocre,66.46793936006725
overpriced,64.54185543669155
.,63.2577442679663
was,61.84780260176012
poor,59.38601722812746
i,57.855639181639134
slow,56.978836670621604
awful,54.57229622529576
?,53.93327100400347
will,53.88365195311053
food,53.67841589728641
do,50.982242070031134
wo,50.25905634160608
dirty,49.856612238276284
too,49.678623541097295
however,49.2701374811877
disappointing,47.59796177786518
money,46.75270166329574
average,43.79653781270531
told,43.28967315109912
dry,42.57456329464003
to,39.61174322226566
away,39.494137550706455
nice,38.53185924794661
cold,37.630345383175154
sucks,37.04011296032695
okay,36.84077648934908
worse,36.30710484646261
over,36.271825163888934
like,36.08446804231335
else,35.74105313398536
expensive,35.70041321440658
ordered,35.18109854953218
disgusting,34.702977754641324
waste,34.65552634210326
wrong,33.748277786929975
closed,33.068508545926306
should,32.94791179324238
tasted,31.87623088626424
left,31.305654994255747
meh,30.661980220815167
for,30.638481890626736
a,30.563929860065855
0.0,30.17643287303946
best,29.76362198930144
gross,27.583683293196373
asked,27.515263574350683
waited,27.228057912987424
love,26.94365625019418
's,26.634231364772404
<UNK>,26.625939079493378
"""",26.044609021540964
sorry,25.855237488198327
had,25.47352629782597
elsewhere,24.812386874458753
guess,24.782714920584112
tasteless,24.73372195288539
definitely,23.501243592705578
so,23.21371991145452
sad,23.040007988805883
small,22.842839704971084
disappointment,22.83855391194811
unfortunately,22.6763410391286
though,22.61555761467389
pay,22.436386376037262
stars,22.323580786861385
decent,21.73028763920911
unless,21.628223230713047
need,21.516049642506005
friendly,21.124141547559702
two,20.897208247690287
could,20.874609006838
with,20.374041009837242
charge,20.237055874709768
maybe,20.04082251386717
can,19.992900503479177
soggy,19.928460006020032
rather,19.65451386355562
less,19.550437604280887
another,19.539565595953434
only,19.427483841303115
waiting,19.323692416563063
go,19.308516316492074
vegas,19.199165083351545
attitude,18.76267435355112
hour,18.6317630661797
salty,18.423353436926845
needs,18.422920412736858
sick,18.36535044014454
nt,18.354299910356758
hate,18.121294265118195
rip,18.11260391958058
avoid,17.45007754692051
when,17.25781917713266
and,17.241749028163554
down,17.03193045660737
stale,16.838778130011633
wish,16.811461687801057
joke,16.725812484219205
charged,16.699230761963918
ridiculous,16.634319676144514
off,16.55398662814696
business,16.513207431120463
that,16.14994894708707
would,16.041801712283814
or,15.817986880962053
nasty,15.731221065623686
greasy,15.686099483194084
lacking,15.640589662012644
at,15.428199663704618
lack,15.427543287165463
gone,15.362796484259889
ignored,15.019331485033035
customer,14.953510754968988
sadly,14.520062824711204
barely,14.346184769732645
flavorless,14.1268465295434
old,13.837877257355103
out,13.815276730013466
burnt,13.808383662253618
hard,13.759062537224963
said,13.69411973856404
apparently,13.693183726980351
until,13.66618760841311
overcooked,13.58627951121889
paying,13.544081759697292
think,13.518071561593388
unprofessional,13.427473280578852
poisoning,13.40916839800775
you,13.120526856733065
recommend,13.01259585723227
used,12.970421837051617
there,12.917180205002296
boring,12.72323245590087
empty,12.70656828203937
customers,12.688312180383946
overrated,12.687478475272655
worth,12.562079927405577
why,12.546043243485883
supposed,12.391937959124334
but,12.336775072362116
sucked,12.320238398388028
high,12.197293690798688
'll,12.122739700513193
here,12.113830580819467
refused,11.979909718036652
mins,11.962435814552009
yuck,11.959590896964073
wanted,11.940110691444715
amazing,11.91335249837357
one,11.862351875316051
mess,11.83945046790177
shame,11.838089698925614
beware,11.812043842859566
instead,11.79745450628252
crappy,11.681428641080856
frozen,11.64912514021853
poorly,11.600200116692577
crap,11.538501608010847
wtf,11.436511017382145
lacked,11.402401022613049
:(,11.397713968995959
ca,11.31223474007129
skip,11.000854052428622
paid,10.926872878102586
zero,10.743131460971199
edible,10.660815060138702
come,10.552772019259123
please,10.468839769717306
par,10.416981486187069
clean,10.299434419519457
lame,10.284453572239727
limited,10.267985215443332
undercooked,10.220090590417385
than,10.181581459044537
have,10.111735691348116
awesome,9.916021871453268
happy,9.885676822590625
tasty,9.773316536362472
person,9.742626194546375
blah,9.730367983820543
again,9.700554462436799
star,9.682897863861626
new,9.551065061696136
unfriendly,9.513433815911412
downhill,9.500625997781754
excellent,9.41042535228189
ruined,9.33564889524132
filthy,9.156890651211143
sitting,9.006909442134202
min,8.851614170707762
right,8.833574314165162
be,8.785918162003355
messed,8.770827202584769
little,8.686177666828371
ugh,8.678970993147232
been,8.663212922222556
low,8.64564139166032
alright,8.630240088095888
tough,8.628561640623957
long,8.583147915449217
fast,8.579024028349522
loud,8.509208168268742
seemed,8.457098685961682
subpar,8.392881149426103
short,8.375091651909315
lost,8.348210508702323
very,8.299298738639209
this,8.265204229621503
last,8.260946907012112
fresh,8.153617311020525
just,8.106101998749637
on,8.09888952819847
unacceptable,8.094071187078953
cool,8.088642754168745
delicious,8.077710594108794
wait,8.076296359508433
