word,value
great,880.5109555243735
good,641.1243757310149
!,496.77881908919517
best,365.96021760888925
love,300.8730016063223
amazing,270.04907548287883
the,218.00131895373124
friendly,217.20967863564147
delicious,212.3461536292125
nice,185.0671937026882
recommend,166.92745590317463
awesome,148.6876376562068
favorite,148.57878997586158
excellent,144.96919856613385
definitely,127.71272189589217
worth,125.91466717700445
not,102.1438761100776
fresh,96.1171636133613
will,90.78866950582596
loved,89.39057312840487
.,88.982706918654
tasty,84.13724465130144
perfect,83.32030856203619
fantastic,82.67194861761527
fun,80.4797661544635
clean,79.49673062293732
happy,77.76912570928835
wonderful,71.421040849993
n't,66.72751512932672
food,64.15339376016891
if,58.905244542739865
vegas,58.52692322805524
yummy,54.589962154394016
to,53.92825663131566
i,53.190597447955
was,52.99819365087251
enjoyed,52.40424710928346
:),50.16443275474012
helpful,44.459868350147644
like,44.36745696686103
can,43.39085793912818
better,43.32032564757537
spot,42.60157912660088
stars,42.50885658451898
go,42.17339654518355
fast,41.39538814018306
cool,40.68257800888614
reasonable,40.566304830193985
come,40.55557716051953
for,38.71681407347751
professional,35.693179800437065
no,35.5732673964485
beautiful,34.640011890811365
enjoy,34.5150111855537
had,34.06167884167007
do,34.046956325248175
quick,33.8052172336902
outstanding,32.82729006614227
with,31.012356264180653
<UNK>,30.973828681917553
easy,30.583197761672636
incredible,30.264326345175505
however,30.024288653527037
yum,29.830327329342254
family,29.432704620121513
thank,29.323966315962025
again,28.699502295938146
recommended,28.486071121096757
impressed,28.04216074279202
new,26.55081542404514
decent,26.392539560649766
glad,25.31894475367153
a,25.182972865896318
knowledgeable,24.77750490605831
right,24.754365306729596
and,24.62620897742454
's,24.5667251006721
fabulous,24.495023359544575
must,24.163332056021318
return,23.997671383121997
everything,23.688853107050818
though,23.322867186553594
liked,23.038543124311673
comfortable,22.48733293058467
solid,22.221210678690113
flavorful,22.140182768620434
top,21.783658822948723
one,21.61803791089733
'll,20.869839198727277
unique,20.825072278068546
perfectly,20.808122934613493
ca,20.675382608984364
attentive,20.410661085568336
pleased,20.273827006133615
fan,20.090855749843286
gem,19.631506403908134
nothing,19.614839177076647
authentic,19.59180488431116
die,19.07173020238406
ok,19.053132176864892
wish,18.911578468640073
here,18.525900053711666
?,18.139820122574747
huge,18.1368795595954
little,18.08903374094689
affordable,18.029373823897913
than,17.679962657352007
too,17.50458561488861
perfection,16.68818129785359
notch,16.643789578360156
very,16.382203073153278
care,15.92867078715426
eat,15.720933022123063
so,15.376914309307267
their,15.342067323210358
favorites,15.299764932133257
bomb,15.111121225869283
delish,15.040195770561695
makes,15.013207361364039
efficient,14.950263052247465
pleasant,14.931119625673091
