word,value
.,2886.225603382569
!,474.35823220634484
<UNK>,283.26856285741087
and,167.7166457184503
i,162.80344115612388
",",161.70322865602066
but,154.37394045552355
back,152.73931903392076
the,152.4758696051358
food,151.78958087193314
this,144.41140010549861
good,131.34804357902613
?,128.27521253097802
...,127.17987771844491
service,117.31019942101557
worst,73.37425201572478
again,71.5486499221297
horrible,67.52746501937509
ok,66.63557143509388
it,66.33087126459577
my,60.41023398692778
even,59.54912231815979
great,58.843748091487214
bad,56.44794517736591
rude,55.97908016038127
terrible,55.10504018049687
disappointed,51.25303857633844
worth,45.735274493228644
place,41.24018624336168
minutes,39.48722078744322
stars,39.27568456158042
if,39.195242954505375
..,37.73146251612343
here,36.576286569121294
that,35.03270841292397
is,33.972931337251794
money,32.91906857769936
bland,32.15919049549848
like,30.466488111007493
mediocre,30.275410149246454
return,29.867304066196084
overpriced,29.17812843155116
manager,29.148685861378908
poor,28.57989427493885
slow,27.924979127477854
....,27.23427957459353
average,27.14784581400454
a,26.222852524173504
okay,26.04648272227496
go,25.283630352307227
customer,24.900235862471163
$,24.62943198659923
than,24.33726104401285
impressed,24.026532538235188
closed,23.747260181233287
waste,23.486325919628143
recommend,23.405104438774288
ever,23.27579330460867
dry,23.081679455004632
dirty,23.032654635608196
experience,22.909825544804335
awful,22.550980971194804
staff,22.220258854562417
disappointing,21.37441951688379
for,20.859880955380504
with,20.58513193910767
guess,20.246247028000653
0.0,20.082872207385662
was,19.633386107700062
flavor,19.626286745537072
tasted,18.765088616404682
customers,18.677162550389767
nice,18.672044350532815
taste,18.512475274852477
told,18.506132076552603
rather,17.934549937956035
what,17.785552306479076
business,17.69955411902629
cold,17.506961069069803
you,17.366605035975226
all,17.136530214425875
wo,16.7528322613216
special,16.297262817271985
to,15.913066091001383
us,15.61562918665004
friendly,15.534726266982034
else,15.483914047072176
worse,15.411944902502
prices,15.297860781894997
now,15.14357345859753
about,15.131883086025482
quality,15.044908660784131
not,14.614686276407156
there,14.373955639108317
our,14.099559149210108
nothing,13.870774514653021
disgusting,13.812062745913863
employees,13.403194069862366
decent,13.391871970845386
unfortunately,13.390129648149014
in,13.193992358195828
come,12.880440178705612
give,12.828106251632562
very,12.66405564264278
so,12.584741658713028
sorry,12.473323695594445
should,12.40025787075865
order,12.38454571357579
going,12.382436099826009
gross,12.274692013859749
priced,11.793575982563198
will,11.712789404729847
how,11.700521717837546
meh,11.654169962741435
coming,11.642690801119898
disappointment,11.638432723935694
attitude,11.59516429156065
returning,11.557126330211759
however,11.426691629938432
sucks,11.396639977116138
.....,11.325012153480202
n't,11.306298951076315
we,11.260760150908027
:,11.208589916699566
sick,11.073640812188387
charge,11.013489696517354
sad,10.891324290074408
best,10.843040576030035
eat,10.813489153675619
really,10.762379658830469
-,10.526987215744157
elsewhere,10.437296552816406
wrong,10.101734515512362
most,10.042684941319749
them,9.62302195178927
care,9.615237912395969
tasteless,9.500349308364093
options,9.427594544831663
unless,9.30073966551572
ridiculous,9.122482351958752
put,9.100059675402008
hate,8.99262976553291
love,8.938451023597736
happened,8.884620329365134
pretty,8.858377361000748
of,8.82506605943854
clean,8.701112563489005
received,8.568943389691412
cooked,8.463817478797864
know,8.444314730528276
chicken,8.372149807430105
everything,8.304365900694393
help,8.297924078069627
old,8.244315791147528
server,8.07020344841294
stale,7.987386405467987
they,7.918074555447674
paid,7.8880545103456825
ignored,7.824137847870588
"""",7.809071402385598
rip,7.73994692414999
soggy,7.714475243352354
wish,7.6846415374893695
stay,7.597578382119536
as,7.3000572165547055
off,7.166105336727924
your,7.143594269131427
charged,7.001406974624842
use,6.99852819123771
par,6.981501152738929
or,6.927642150141764
time,6.857888559476123
star,6.830554749001749
bother,6.807581438682973
unprofessional,6.725861703976989
just,6.714015773235587
both,6.699739166244399
much,6.690668149705743
extremely,6.655292904470116
happy,6.6480079726316035
shame,6.629524820484221
:(,6.623994095250964
anymore,6.592727645300329
greasy,6.583632614696398
thanks,6.569193672854453
barely,6.481216967571527
fan,6.47209708095761
especially,6.453420840669423
cheese,6.406319287489168
write,6.338189204223454
pizza,6.304299836956488
job,6.278789226198569
lost,6.170950287487358
water,6.0909031013725325
meat,6.081952298351098
hour,6.0452825163374655
amazing,6.033269568346441
joke,5.981109049171209
alright,5.9468353390693665
understand,5.934161962533835
fresh,5.900529534555972
burger,5.878346830548253
apparently,5.840646006632596
refused,5.786450466141105
poisoning,5.7645887937396765
on,5.748879449827655
tasty,5.742408675374463
favorite,5.73859479976818
no,5.720208724778786
edible,5.675415430217981
boring,5.662263107020408
hotel,5.6611116649000905
gone,5.599469585635234
somewhere,5.589466035366058
want,5.5883052011049585
wow,5.556928129051812
enjoy,5.550541695556603
rating,5.548061467707157
selection,5.521000314562116
sadly,5.407193786464632
overall,5.386869317386299
least,5.368843138276134
poorly,5.333533799275756
maybe,5.269590409239754
price,5.219676675507799
awesome,5.174932539463043
cool,5.101777132600546
flavorless,5.071143644861877
yuck,5.024793377146125
seem,4.9959530112100765
salty,4.984493019175716
make,4.978215636932873
way,4.948905977420509
overcooked,4.938371653202921
's,4.9367034195165616
get,4.930164963050629
be,4.924497071326186
waitress,4.910184069653042
weird,4.824672833317891
nasty,4.821523348859046
wtf,4.761698924005032
definitely,4.714392318855971
needs,4.71203520410927
run,4.693891272880137
lame,4.680672043701634
establishment,4.648675674572587
check,4.625485366384964
save,4.6072338942904025
zero,4.602076495997608
sushi,4.597008900615037
burnt,4.58554058871232
me,4.558598906711268
next,4.544743477599695
overrated,4.490624029189348
unfriendly,4.435022190213203
plus,4.407736800960265
ruined,4.370710484683514
crappy,4.359505922999233
hoping,4.34308816306293
downhill,4.213671462610364
because,4.154929258147604
stand,4.148103833664209
second,4.109678682871163
wonder,4.095099150203168
buffet,4.075364554388216
expectations,4.061781734693795
expensive,4.051008668182476
places,4.033582450530957
bar,4.023479858646169
someone,4.014342833077535
bartender,4.011342353187501
forgot,4.01042588573182
blah,4.007181007415056
suck,3.995241369586438
yourself,3.989161147736013
wanted,3.965570087049855
better,3.9596922903729137
undercooked,3.9409868009388447
one,3.9356621843544417
little,3.9354908534442075
hostess,3.9117831522598863
mess,3.8950422366615385
upset,3.886706472374499
atmosphere,3.87080410332419
thank,3.825244366656989
fun,3.790749290608801
excellent,3.7816886571235955
although,3.762008729216177
move,3.7571963723748922
waited,3.739480599775561
do,3.735875125377788
rooms,3.6920951802749187
acknowledge,3.6561115458607674
choices,3.6113218222744763
empty,3.5930704737838823
trash,3.5793364755809307
helpful,3.573704703943804
filthy,3.5262400284409523
employee,3.511614921502769
out,3.5075293807458365
annoyed,3.4870708473026752
bathroom,3.4659392319153994
restaurant,3.423430772818392
people,3.4154425419401377
ugh,3.409822242334485
left,3.3978518878720934
bill,3.3969685325864702
saying,3.364384049549699
loud,3.362583964917576
were,3.346379625683767
also,3.323935808177339
wasted,3.3205455746501684
after,3.3123196503220242
two,3.3052258073730627
response,3.2885758192278445
have,3.2702633333101403
lazy,3.251953925937414
up,3.2414740682870615
deliver,3.2394687491469085
sucked,3.2256642119027674
recommended,3.2112722927704453
down,3.1887452101000235
at,3.1491716618947976
bottom,3.129011350683868
refund,3.1128223882988095
management,3.1066001967992634
real,3.1063335294893477
delicious,3.099119129823521
half,3.084987729176646
hopes,3.059420932084322
honor,3.0497873974964023
hype,3.022434593178332
still,2.9941854821518064
staying,2.985915336292237
salt,2.9857744118198752
drink,2.9809505377343157
frustrating,2.9749246388673782
slowest,2.95954879373312
got,2.9554301899988786
luck,2.9417881224071607
ordering,2.938401308725588
has,2.9297162994917016
fine,2.9249157140147872
