word,value
.,3200.3203272565734
!,1154.5125288102718
great,391.03389905404765
and,384.78752403287217
<UNK>,382.9587522619404
",",255.9078851225495
good,238.68013259058353
food,173.05728958308464
i,172.54418793359946
this,158.92760774772614
the,144.50745634062332
back,140.48687888099812
but,124.44531114263373
place,118.98592080063827
love,110.96595811122097
...,106.46929977321997
amazing,104.06460372870788
service,96.10991667659255
it,93.48846513975877
friendly,85.55771689349785
delicious,74.22812710003927
awesome,69.59039891092107
recommend,67.11882059648633
best,65.41594007360982
is,64.72575020579825
nice,60.577646896243095
excellent,55.2748610409908
favorite,54.6170875383541
worth,51.152117358287796
?,50.97425610385835
my,50.74593590067525
again,46.44816145981895
even,46.251059430418536
ever,44.88113805442117
with,44.83160754158598
than,39.76891540805809
like,37.56109958741581
definitely,37.36299523874186
:),35.66028583981097
stars,34.42339514195919
staff,34.11466257204302
fantastic,33.70023236959241
that,33.55267003524932
prices,32.32929467456415
a,32.109299790492514
experience,30.849929850926856
you,29.159077622069162
here,28.779180768236984
tasty,28.722630891017616
clean,28.553303577937186
..,27.425470194546506
everything,26.803435718349647
loved,26.410091653000563
vegas,25.729571874951944
perfect,25.620975963480305
fun,25.37673838844057
wonderful,25.18179458612576
if,24.82156515069073
little,23.985824580173357
so,23.979962403594982
yummy,23.300796582829207
happy,22.881864806986414
as,22.657349233377317
-,21.750315464836603
....,20.785204702289775
always,20.44475746092212
very,19.294430716523493
helpful,18.975169672165066
in,18.777054246944317
was,18.705459104374313
job,18.705099938437343
fresh,18.63282030558912
for,18.08647952129104
return,17.79311703518033
really,17.66878363060823
pretty,17.3693634182564
spot,16.699896533973515
come,16.38102433178574
about,16.12397042567318
especially,16.073798947385512
most,16.060093017527834
enjoyed,15.748426369624212
professional,15.670519557781518
ok,15.321861527860165
:,15.19822488736827
quality,15.197144179488532
impressed,14.617046831175685
go,14.225210349017289
wish,13.506154802860692
also,13.054367724456824
enjoy,12.899300038581714
recommended,12.859647530596703
cool,12.82667275168933
0.0,12.751103042035538
now,12.5377192836022
coming,12.44716311886441
all,12.389870594408421
options,12.351528501603752
decent,12.289602060103789
we,12.246340920522925
next,12.185396984103136
our,12.046569494588766
will,11.85488169157179
selection,11.767436298541725
outstanding,11.74684938415885
affordable,11.646012596786022
price,11.627620394865517
to,11.550185305975901
sushi,11.452193972319947
knowledgeable,11.449654195457697
what,11.441308683730313
incredible,11.190400682389736
pizza,11.149017040988838
how,11.115135848900536
attentive,11.05647185863927
eat,10.947354466858087
fan,10.891012614709325
thank,10.85526632424444
anyone,10.732707045797724
atmosphere,10.690732313669287
quick,10.647048510436434
time,10.630390719816205
priced,10.62641546363011
thanks,10.424603907391429
die,10.390098116011359
overall,10.306042655720375
help,10.209603886120021
chicken,10.088341890659649
$,10.000511519028805
flavorful,9.780056273564696
flavor,9.692340617068112
top,9.681077456101775
burger,9.674299508478725
places,9.453793821216095
perfectly,9.385058123618364
just,9.35844969671598
there,9.302287955433712
both,9.219924970442662
town,9.004422735713888
every,8.918566502034082
else,8.858933114708634
wow,8.766327849181835
money,8.751420633867383
minutes,8.627753334585577
visit,8.585170126578305
variety,8.467021860997193
them,8.404572838451713
business,8.339523400645703
old,8.336681949411286
of,8.216704325514002
authentic,8.211843960627448
hour,8.175270747800823
notch,8.161681966856122
comfortable,8.148176232352853
reasonable,8.139268383034505
manager,8.063017891719937
taste,8.054449753108202
pleased,8.003695111721754
employees,7.971423833630979
customer,7.82665541570168
delish,7.734734330326319
gem,7.724904901348054
extremely,7.565629913471639
us,7.5277335112623405
special,7.489696193370037
above,7.484463746426627
tasted,7.420146086718887
choices,7.40649853553623
closed,7.398981566540897
must,7.350582608254626
show,7.304718508821679
care,7.294672010233626
coffee,7.274811119001242
however,7.257338068142417
lunch,7.248418826042325
tender,7.236646179109812
average,7.083203188609332
give,6.977228515752358
's,6.879138379292272
bad,6.859443670895416
although,6.858729293919168
makes,6.836198884702753
solid,6.815059845335782
perfection,6.801771139726043
favorites,6.784910756163299
super,6.758362557069631
everyone,6.736452597018797
order,6.730310079961782
new,6.7182455261354335
able,6.63531080033863
.....,6.615380944684148
guess,6.61237221211195
world,6.563048060750589
customers,6.561394199728966
value,6.5138986385427415
burgers,6.43436069865129
yum,6.235500997514464
liked,6.214161844574846
